word, deff, prt_of_speech, usage, frequency_rank 
quoniam,since# seeing that,Conjunction,Conjunctions/Adverbs,510
quoque,also# too,Conjunction,Conjunctions/Adverbs,76
quotiens,interr. how many times? how often? rel. as often as# whenever,Adverb,Pronouns/Interrogatives,970
rapio rapere rapui raptum,seize# tear away,Verb: 3rd Conjugation -io,Violence,273
rarus rara rarum,wide apart# loose# thin; rare# seldom,Adjective: 1st and 2nd Declension,Measurement,752
ratio -onis f.,method# plan# reason,Noun: 3rd Declension,Education/Knowledge,256
recedo -cedere -cessi -cessum,step back# recoil# recede# withdraw,Verb: 3rd Conjugation -o,Motion,826
recens recentis,fresh# new,Adjective: 3rd Declension,Time,781
recipio -cipere -cepi -ceptum,take back# receive; se recipere# betake oneself# go,Verb: 3rd Conjugation -io,Verbs of Transport,319
rectus recta rectum,straight# direct,Adjective: 1st and 2nd Declension,Measurement,823
reddo -dere -didi -ditum,return# give back,Verb: 3rd Conjugation -o,Verbs of Transport,174
redeo -ire -ii -itum,go back# return,Verb: Irregular,Motion,301
refero referre rettuli relatum,bring back; report,Verb: Irregular,Verbs of Transport,171
regio -onis f.,boundary# region,Noun: 3rd Declension,Geography,585
regius regia regium,kingly# royal,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,561
regnum -i n.,kingship# kingdom,Noun: 2nd Declension,Geography,121
rego regere rexi rectum,guide# rule,Verb: 3rd Conjugation -o,The City,554
relinquo -linquere -liqui -lictum,abandon,Verb: 3rd Conjugation -o,Motion,144
reliquus reliqua reliquum,remaining# rest,Adjective: 1st and 2nd Declension,Measurement,788
reor reri ratus sum,think# imagine# suppose# deem,Verb: Deponent,Education/Knowledge,774
reperio -perire -pperi -pertum,find# find out,Verb: 4th Conjugation,Education/Knowledge,765
repeto -petere -petivi -petitum,demand# exact; revisit; call to mind# recollect; repeat,Verb: 3rd Conjugation -o,Verbs of Compelling/Directing,651
res rei f.,thing (res publica# commonwealth; res familiaris# family property# estate; res militaris# art of war; res novae# revolution),Noun: 5th Declension,Life and Being,38
respicio -ere -spexi -spectum,look back# regard# consider,Verb: 3rd Conjugation -io,Vision,722
respondeo -spondere -spondi -sponsum,answer,Verb: 2nd Conjugation,Speech/Oratory,535
retineo -tinere -tinui -tentum,hold back# keep,Verb: 2nd Conjugation,Verbs of Compelling/Directing,647
reverto -vertere -verti,turn back,Verb: 3rd Conjugation -o,Motion,995
revoco -are,call back# recall,Verb: 1st Conjugation,Social Life,813
reus -i m.,defendant,Noun: 2nd Declension,Justice,888
rex regis m.,king,Noun: 3rd Declension,The City,60
rideo -ere risi risum,laugh# laugh at,Verb: 3rd Conjugation -o,Emotions,874
ripa -ae f.,bank of a river,Noun: 1st Declension,Earth and Water,662
rogo -are,ask,Verb: 1st Conjugation,Speech/Oratory,551
rumpo rumpere rupi ruptum,break# rupture,Verb: 3rd Conjugation -o,Violence,480
rursus,back# again,Adverb,Place,440
rus ruris n.,country,Noun: 3rd Declension,Geography,879
sacer sacra sacrum,holy# sacred,Adjective: 1st and 2nd Declension,Religion,398
sacerdos -dotis m./f.,priest# priestess,Noun: 3rd Declension,Religion,939
saeculum -i n.,generation# age# century,Noun: 2nd Declension,Lengths of Time,776
saepe,often,Adverb,Time,145
saevus saeva saevum,fierce# raging# wrathful,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,244
salus -utis f.,health# safety,Noun: 3rd Declension,Life and Being,549
sanctus sancta sanctum,sacred# inviolable,Adjective: 1st and 2nd Declension,Religion,659
sanguis -inis m.,blood,Noun: 3rd Declension,The Body,214
sanus sana sanum,sound# sane,Adjective: 1st and 2nd Declension,Life and Being,946
sapiens sapientis,wise; (as subst.) wise man# sage# philosopher,Adjective: 3rd Declension,Education/Knowledge,453
sapientia -ae f.,wisdom,Noun: 1st Declension,Education/Knowledge,797
satis# sat,enough# sufficient# sufficiently,Adverb,Measurement,341
saxum -i n.,rock# cliff# crag,Noun: 2nd Declension,Earth and Water,306
scelus -eris n.,crime# sin,Noun: 3rd Declension,Justice,154
scientia -ae f.,knowledge,Noun: 1st Declension,Education/Knowledge,971
scilicet,certainly# of course,Adverb,Conjunctions/Adverbs,889
scio -ire -ivi/-ii -itum,know,Verb: 4th Conjugation,Education/Knowledge,172
scribo scribere scripsi scriptum,write,Verb: 3rd Conjugation -o,Writing/Poetry,568
secundus secunda secundum,following; favorable; (as numeral) second,Adjective: 1st and 2nd Declension,Measurement,836
securus secura securum,free from care# tranquil; careless,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,697
sed,but,Conjunction,Conjunctions/Adverbs,20
sedeo sedere sedi sessum,sit,Verb: 2nd Conjugation,The House,506
sedes -is f.,seat# abode# habitation,Noun: 3rd Declension,The House,403
semel,once,Adverb,Time,789
semper,always# ever,Adverb,Time,149
senatus -us m.,senate,Noun: 4th Declension,The City,329
senex -is m.,old man# elder; senior# older,Noun: 3rd Declension,People,558
sensus -us m.,feeling# emotion# sense,Noun: 4th Declension,Emotions,793
sententia -ae f.,opinion# judgment,Noun: 1st Declension,Education/Knowledge,586
sentio sentire sensi sensum,perceive# feel# hear# see,Verb: 4th Conjugation,Other Senses,302
sepulcrum -i n.,place of burial# tomb# grave,Noun: 2nd Declension,Life and Being,949
sequor sequi secutus sum,follow,Verb: Deponent,Motion,108
sermo -onis m.,conversation# discourse,Noun: 3rd Declension,Speech/Oratory,575
servio -ire,be a slave# serve (+ dat.),Verb: 4th Conjugation,The Household,883
servo -are,save# watch over,Verb: 1st Conjugation,The Household,289
servus -i m.,slave,Noun: 2nd Declension,The Household,496
seu,whether; seu ... seu: whether ... or → sive,Conjunction,Conjunctions/Adverbs,343
si,if,Conjunction,Conjunctions/Adverbs,16
sic,in this manner# thus; sic ... ut: in the same way as,Adverb,Conjunctions/Adverbs,79
sicut,just as,Adverb,Conjunctions/Adverbs,791
sidus -eris n.,star# constellation,Noun: 3rd Declension,Air and Fire,359
signum -i n.,sign# standard# mark,Noun: 2nd Declension,War and Peace,261
silva -ae f.,forest# grove,Noun: 1st Declension,Animals/Plants,234
similis simile,like# similar,Adjective: 3rd Declension,Personality Traits/Characteristics,414
simul,at the same time,Adverb,Time,274
sine,without (+ abl.),Preposition,Non-Directional Prepositions,104
singuli singuae singua,one each,Adjective: 1st and 2nd Declension,Measurement,507
sino sinere sivi situm,allow# let go,Verb: 3rd Conjugation -o,Verbs of Compelling/Directing,717
sinus -us m.,fold of a garment; lap# bay# gulf,Noun: 4th Declension,Earth and Water,478
sive,whether; sive ... sive: whether ... or → seu,Conjunction,Conjunctions/Adverbs,362
socius socia socium,friendly# allied; socius -i m.: partner# comrade,Adjective: 1st and 2nd Declension,Social Life,372
sol solis m.,sun,Noun: 3rd Declension,Air and Fire,320
soleo -ere -ui -itum,be accustomed,Verb: 2nd Conjugation,Personality Traits/Characteristics,246
solum,only# merely,Adverb,Measurement,897
solvo solvere solvi solutum,release# set sail,Verb: 3rd Conjugation -o,Travel,325
solus sola solum,only# alone,Adjective: 1st and 2nd Declension,Measurement,176
somnus -i m.,sleep# slumber; (pl.) dreams,Noun: 2nd Declension,Life and Being,438
sono sonare sonui sonitum,sound# resound,Verb: 1st Conjugation,Other Senses,583
soror -oris f.,sister,Noun: 3rd Declension,The Household,497
sors sortis f.,lot# fate# destiny; oracle,Noun: 3rd Declension,Religion,639
spargo spargere sparsi sparsum,scatter,Verb: 3rd Conjugation -o,Earth and Water,532
spatium -i n.,space,Noun: 2nd Declension,Air and Fire,426
species -ei f.,aspect# appearance,Noun: 5th Declension,Vision,599
specto -are,look at# consider,Verb: 1st Conjugation,Vision,473
spero -are,to hope,Verb: 1st Conjugation,Emotions,648
spes spei f.,hope,Noun: 5th Declension,Emotions,232
spiritus -us m.,breath# life# spirit,Noun: 4th Declension,Life and Being,703
statim,immediately,Adverb,Time,798
statuo -ere -ui -utum,set up# determine,Verb: 3rd Conjugation -o,Justice,678
stella -ae f.,star,Noun: 1st Declension,Air and Fire,934
sto stare steti statum,stand,Verb: 1st Conjugation,Life and Being,168
studeo -ere -ui,be eager# be zealous# care for (+ dat.),Verb: 2nd Conjugation,Emotions,989
studium -i n.,eagerness# zeal,Noun: 2nd Declension,Emotions,450
sub,under# close to (+acc. or abl.),Preposition,Place,118
subeo -ire -ii -itum,go under; endure,Verb: Irregular,Motion,538
subito,suddenly# unexpectedly,Adverb,Time,848
sui sibi se/sese,him- her- itself# themselves,Pronoun,Pronouns/Interrogatives,17
sum esse fui futurum,be# exist; fut. infin. often = fore# impf. subj. often = forem for essem,Verb: Irregular,Life and Being,2
sumo sumere sumpsi sumptum,take up,Verb: 3rd Conjugation -o,Motion,454
super,over (adv. and prep. +acc.),Adverb,Place,401
superbus superba superbum,overbearing# proud# haughty,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,656
superi -orum m. pl.,those above# i.e. the gods,Noun: 2nd Declension,Religion,714
supero -are,overcome# surpass# defeat,Verb: 1st Conjugation,War and Peace,668
supersum -esse -fui,remain# survive; be superfluous (to),Verb: Irregular,Place,623
superus supera superum,situated above# upper,Adjective: 1st and 2nd Declension,Religion,99
supplicium -i n.,punishment# penalty,Noun: 2nd Declension,Justice,683
supra,above# beyond (adv. and prep. +acc.),Preposition,Place,588
surgo surgere surrexi surrectum,rise,Verb: 3rd Conjugation -o,Earth and Water,570
suscipio -cipere -cepi ceptum,take up,Verb: 3rd Conjugation -io,Verbs of Transport,937
sustineo sustinere sustinui sustentum,hold up# sustain,Verb: 2nd Conjugation,Social Life,762
suus sua suum,his own# her own# its own,Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,27
taceo -ere -ui -itum,be silent; tacitus -a -um# silent,Verb: 2nd Conjugation,Other Senses,369
talis tale,such,Adjective: 3rd Declension,Measurement,203
tam,so# so much,Adverb,Conjunctions/Adverbs,96
tamen,nevertheless# still,Conjunction,Conjunctions/Adverbs,58
tamquam,so as# just as,Adverb,Conjunctions/Adverbs,363
tandem,finally,Adverb,Conjunctions/Adverbs,427
tango tangere tetigi tactum,touch,Verb: 3rd Conjugation -o,Other Senses,534
tantum# tantummodo,only,Adverb,Measurement,216
tantus tanta tantum,so great# so much; (as pronoun) such a quantity# so much; tanti# at such a price# of such worth,Adjective: 1st and 2nd Declension,Measurement,105
tardus tarda tardum,slow# sluggish# lingering,Adjective: 1st and 2nd Declension,Time,738
tectum -i n.,roof; building# house,Noun: 2nd Declension,The House,386
tego tegere texi tectum,cover# conceal,Verb: 3rd Conjugation -o,Deception,376
tellus telluris f.,earth,Noun: 3rd Declension,Earth and Water,337
telum -i n.,missile# weapon# spear,Noun: 2nd Declension,War and Peace,255
tempestas -tatis f.,period of time# season; bad weather# storm,Noun: 3rd Declension,Lengths of Time,753
templum -i n.,consecrated ground; temple,Noun: 2nd Declension,Religion,485
tempus -oris n.,time,Noun: 3rd Declension,Time,89
tendo tendere tetendi tentum,stretch# extend# direct (one’s steps or course),Verb: 3rd Conjugation -o,Travel,529
tenebrae -brarum f. pl.,darkness# the shadows,Noun: 1st Declension,Vision,775
teneo -ere -ui tentum,hold# keep,Verb: 2nd Conjugation,Other Senses,106
tener tenera tenerum,tender,Adjective: 1st and 2nd Declension,Other Senses,490
tempto -are,try# test,Verb: 1st Conjugation,Making/Doing,430
tergum -i n.,back# rear; a tergo: from the rear,Noun: 2nd Declension,The Body,474
terra -ae f.,land,Noun: 1st Declension,Earth and Water,70
terreo terrere terrui territum,terrify# frighten,Verb: 2nd Conjugation,Emotions,705
tertius tertia tertium,third,Adjective: 1st and 2nd Declension,Measurement,682
testis -is m.,witness,Noun: 3rd Declension,Justice,741
timeo -ere -ui,to fear# to dread,Verb: 2nd Conjugation,Emotions,153
timor -oris m.,fear,Noun: 3rd Declension,Emotions,536
tollo tollere sustuli sublatum,raise up# destroy,Verb: Irregular,Violence,293
tot,so many,Adverb,Measurement,259
totus tota totum,whole# entire,Adjective: 1st and 2nd Declension,Measurement,78
trado -dere -didi -ditum,hand over# yield,Verb: 3rd Conjugation -o,Business/Money,297
traho trahere traxi tractum,drag# draw,Verb: 3rd Conjugation -o,Verbs of Compelling/Directing,213
transeo -ire -ii -itum,go across,Verb: Irregular,Travel,431
tres tria,three,Adjective: Numeral,Measurement,533
tribunus -i m.,tribune# title of various Roman officials# as militum# plebis# aerarii,Noun: 2nd Declension,The City,807
tristis triste,sad# solemn# grim,Adjective: 3rd Declension,Emotions,275
tu tui tibi te,you (sing.),Pronoun,Pronouns/Interrogatives,9
tum or tunc,then,Adverb,Time,56
turba -ae f.,crowd# uproar,Noun: 1st Declension,The City,323
turbo -are,disturb# confuse,Verb: 1st Conjugation,Speech/Oratory,868
turpis turpe,ugly# unsightly; disgraceful,Adjective: 3rd Declension,Other Senses,377
tutus tuta tutum,safe# protected,Adjective: 1st and 2nd Declension,War and Peace,365
tuus tua tuum,your,Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,44
vaco vacare,be empty# open# unoccupied,Verb: 1st Conjugation,Measurement,724
vacuus vacua vacuum,empty,Adjective: 1st and 2nd Declension,Measurement,673
vagus vaga vagum,wandering# shifting,Adjective: 1st and 2nd Declension,Travel,674
valeo valere valui,be strong# excel# be valid# prevail; vale: farewell!,Verb: 2nd Conjugation,Social Life,539
validus valida validum,strong,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,816
vanus vana vanum,empty; false# deceitful,Adjective: 1st and 2nd Declension,Deception,856
varius varia varium,changing# varied# various,Adjective: 1st and 2nd Declension,Other Senses,631
vates -is m.,poet# bard,Noun: 3rd Declension,Writing/Poetry,684
ubi,where# when,Adverb,Place,92
ve,or (postpositive enclitic),Conjunction,Conjunctions/Adverbs,307
veho vehere vexi vectum,carry; vehor vehi vectus sum: travel# ride,Verb: 3rd Conjugation -o,Travel,632
vel,or else# or; even; vel ... vel: either … or,Conjunction,Conjunctions/Adverbs,141
velut,even as# just as,Adverb,Conjunctions/Adverbs,447
venio venire veni ventum,come,Verb: 4th Conjugation,Motion,63
ventus -i m.,wind,Noun: 2nd Declension,Air and Fire,269
verbum -i n.,word,Noun: 2nd Declension,Writing/Poetry,188
vere,truly,Adverb,Speech/Oratory,983
vereor vereri veritus sum,fear# stand in awe of,Verb: Deponent,Emotions,884
vero,in fact# certainly# without doubt,Adverb,Conjunctions/Adverbs,280
verto vertere verti versum,turn,Verb: 3rd Conjugation -o,Motion,288
verus vera verum,true,Adjective: 1st and 2nd Declension,Speech/Oratory,410
vester vestra vestrum,your,Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,282
vestigium -i n.,footstep# footprint# track,Noun: 2nd Declension,Travel,716
vestis -is f.,garment# robe# clothing,Noun: 3rd Declension,Life and Being,413
veto -are vetui vetitum,forbid,Verb: 1st Conjugation,Verbs of Compelling/Directing,665
vetus veteris,old,Adjective: 3rd Declension,Time,295
via -ae f.,way# street,Noun: 1st Declension,Travel,196
vicinus vicina vicinum,neighboring# near,Adjective: 1st and 2nd Declension,Geography,940
victor -oris m.,conqueror,Noun: 3rd Declension,War and Peace,340
victoria -ae f.,victory,Noun: 1st Declension,War and Peace,750
video videre vidi visum,see,Verb: 2nd Conjugation,Vision,31
vinco vincere vici victum,conquer,Verb: 3rd Conjugation -o,War and Peace,101
vinculum -i n.,bond# fetter# tie,Noun: 2nd Declension,War and Peace,594
vinum -i n.,vine# wine,Noun: 2nd Declension,Animals/Plants,640
vir viri m.,man,Noun: 2nd Declension,People,85
virgo -inis f.,maiden# virgin# girl,Noun: 3rd Declension,People,418
virtus -utis f.,valor# manliness# virtue,Noun: 3rd Declension,Personality Traits/Characteristics,111
vis f.,force; (acc.) vim# (abl.) vi; (pl.) vires# strength,Noun: 3rd Declension,War and Peace,115
vita -ae f.,life,Noun: 1st Declension,Life and Being,87
vitium -i n.,flaw# fault# crime,Noun: 2nd Declension,Justice,326
vito -are,avoid# shun,Verb: 1st Conjugation,Social Life,881
vivo vivere vixi victum,live,Verb: 3rd Conjugation -o,Life and Being,156
vix,scarcely,Adverb,Conjunctions/Adverbs,352
ullus ulla ullum,any# anyone,Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,178
ultimus ultima ultimum,farthest# final# last# ultimate,Adjective: 1st and 2nd Declension,Geography,432
ultra,beyond# further (adv. and prep. + acc.),Preposition,Place,600
umbra -ae f.,shade# shadow,Noun: 1st Declension,Vision,257
umquam,ever,Adverb,Time,482
unda -ae f.,wave# flowing water# water,Noun: 1st Declension,Earth and Water,207
unde,from where,Adverb,Place,300
undique,from all sides# on all sides,Adverb,Place,686
unus una unum,one,Adjective: 1st and 2nd Declension,Measurement,53
voco -are,call,Verb: 1st Conjugation,Speech/Oratory,158
volo velle volui,wish# be willing,Verb: Irregular,Emotions,66
volucer voluccris voluccre,flying,Adjective: 3rd Declension,Animals/Plants,977
volucris -is f./m.,bird,Noun: 3rd Declension,Animals/Plants,976
voluntas -atis f.,wish# desire,Noun: 3rd Declension,Emotions,859
voluptas -atis f.,pleasure# enjoyment,Noun: 3rd Declension,Social Life,378
vos,you (pl.); (gen.) vestrum/vestri# (dat./abl.) vobis# (acc.) vos,Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,130
votum -i n.,solemn promise# vow; hope,Noun: 2nd Declension,Religion,334
vox vocis f.,voice# utterance,Noun: 3rd Declension,Speech/Oratory,169
urbs urbis f.,city,Noun: 3rd Declension,The City,82
usque,up to; continuously,Adverb,Time,527
usus -us m.,use# experience,Noun: 4th Declension,Education/Knowledge,446
ut# uti,as (+ indic.); so that# with the result that (+ subj.); (in questions) in what manner# how; (exclam.) to what an extent! how!,Adverb,Conjunctions/Adverbs,15
uterque utraque utrumque,each of two,Conjunction,Measurement,243
utilis utile,useful,Adjective: 3rd Declension,Making/Doing,850
utor uti usus sum,use# consume# employ (+ abl.),Verb: Deponent,Making/Doing,330
utrum,whether; utrum ... an: whether ... or,Conjunction,Conjunctions/Adverbs,827
vulgo,commonly,Adverb,The City,991
vulgus -i n. and m.,the common people,Noun: 2nd Declension,The City,675
vulnus -eris n.,wound,Noun: 3rd Declension,Violence,327
vultus -us m.,look# expression# face,Noun: 4th Declension,The Body,209
uxor uxoris f.,wife,Noun: 3rd Declension,The Household,552
